abs_day_diff,mean,std
0,0.570119707801246,0.07797693099561924
1,0.4097665526641901,0.12598958902582152
2,0.36825479770691544,0.1472233581929632
3,0.3696592977207166,0.1383641573973033
4,0.3540769164695991,0.1310109299312374
5,0.33504922978473567,0.15493536753947415
6,0.3500982091444726,0.14265040968859713
7,0.355861769794075,0.1496553227650294
8,0.3326283998913141,0.157428191792255
9,0.32878215044730447,0.1410098480242765
10,0.30236002367645953,0.16192296634961814
11,0.30103165370278406,0.1616634159408387
12,0.31195351046299014,0.16786256549625245
13,0.30106163902561417,0.15864693208333594
14,0.30837062060606174,0.15239221895791769
15,0.28085213929955816,0.1633550167862864
16,0.28116726905901845,0.1653605492003917
17,0.263866210145893,0.15896091881712562
18,0.2680308959864219,0.16423069204915158
19,0.25247612818903276,0.1866072881206589
20,0.2445539955900947,0.16969173111927632
21,0.26495459362861185,0.15982176023541986
22,0.24863560512858304,0.16234003370068414
23,0.23699879565964369,0.16554268088891408
24,0.24627729044634286,0.1816666423357706
25,0.24224599430947447,0.165417414014611
26,0.2123181478910656,0.1794558293817733
27,0.2368189145735366,0.17175465813243054
28,0.25068749877987406,0.16954555287742756
29,0.22274498531927078,0.1866476434049008
30,0.22921134775219026,0.1806214399735522
31,0.22448292146087573,0.18645568763885684
32,0.22897049540222525,0.16978421187747847
33,0.22041787551356076,0.16151190285655004
34,0.23414656471581652,0.16206533217339406
35,0.22401738449734773,0.17680009691586113
36,0.19593707027115567,0.1791632415661682
37,0.20113028235394573,0.1879717146775358
38,0.2202323504016251,0.16903815365565414
39,0.19247644901758493,0.1595727195503262
40,0.20562062965899708,0.18284100605165834
41,0.23541108687627535,0.16029364992599987
42,0.22246989004949425,0.17000110285540226
43,0.201018076834959,0.18005919187360497
44,0.20613037726907393,0.16617890472569002
45,0.2140884702651835,0.15551878428280644
46,0.21433608446895797,0.14915170654383475
47,0.23093544790834483,0.16952547187809663
48,0.21946848682915288,0.1516749157089721
49,0.23184596184743814,0.15282284423474166
50,0.23399674797613707,0.1479783823406608
51,0.1860082217831035,0.18530548737674812
52,0.1776358020652132,0.14462645030099366
53,0.19997346297437363,0.14559794324206113
54,0.21997576747536846,0.17154417834859748
55,0.1967737437040397,0.16331593822455523
56,0.2536052846418267,0.14742742321841076
57,0.20478865098080645,0.142934157537039
58,0.18022817897243315,0.16438760681894896
59,0.20269028335472591,0.16366001543247127
60,0.18347162106837822,0.17022890242639574
61,0.20845103016876304,0.15003875620195828
62,0.2012125374329604,0.14877681778602392
63,0.21662193230908913,0.13587132038782582
64,0.21662593026019605,0.14982541556489506
65,0.1852829982647952,0.16296610713166174
66,0.19414529559632848,0.14154155985993203
67,0.1822917952626159,0.16599168633807787
68,0.19858893914189507,0.15280950251087405
69,0.19121287326784292,0.172408233823447
70,0.1997111699785888,0.17920103230751294
71,0.18333697211901562,0.19223722193726603
72,0.17065969077272444,0.16248752043563228
73,0.18139434336876956,0.15733309952727548
74,0.18818956451429159,0.16074291327185386
75,0.18320623829943855,0.18413550865854697
76,0.1786062755106346,0.16488197079566425
77,0.20127457601539966,0.16406345461543975
78,0.1878205013624291,0.15328310490840044
79,0.1928057325810485,0.13792075638913295
80,0.20249229991988515,0.1537239813876132
81,0.18060491158379535,0.16709276028197412
82,0.19929977465502638,0.1641563194997459
83,0.1705820503250041,0.18901706892863476
84,0.19048612613726548,0.1665481240629861
85,0.16721593022171774,0.15222055136733134
86,0.176947315115953,0.1509769813439318
87,0.1730434465862765,0.15681723450977972
88,0.19599840392014312,0.14496589717864308
89,0.20140887565146792,0.18330489642796935
90,0.18453282908856425,0.1694826690704211
91,0.20466784771169663,0.15455684065103778
92,0.145128122976119,0.16646696938296823
93,0.17263029258205734,0.1531150544892784
94,0.16124523091526144,0.17002143248982785
95,0.17707222329721908,0.15159731167318619
96,0.20615250772829669,0.16223736928033514
97,0.17485567337517802,0.16763169674931389
98,0.1863560103616103,0.15166690845635136
99,0.16456906649145575,0.14803847105252516
100,0.18224063374316665,0.15487123846188564
