abs_day_diff,mean,std
0,0.2863032218160834,0.06172536907741089
1,0.17282668424094227,0.11528048623699376
2,0.14313129916009612,0.116404905747869
3,0.13171714952068148,0.1391742682467496
4,0.11894581681140713,0.13775474556335193
5,0.10862560784547867,0.1381894800516357
6,0.1210856167805513,0.13814686266119758
7,0.12232761731548217,0.12352862266712543
8,0.10895997968909642,0.1526159172587898
9,0.10366605314746041,0.13695628355663036
10,0.08335073089783118,0.15942472548320027
11,0.09007485767932731,0.1325038416516206
12,0.08743557240116354,0.1578017507774798
13,0.07705716379647941,0.15168091766113778
14,0.0891595073690737,0.11977083107271452
15,0.06039610875042822,0.16863928832088834
16,0.06330988413475422,0.1534952836063181
17,0.05391962288611158,0.17258662982071715
18,0.062261774655939094,0.14589937627243926
19,0.04175085931460934,0.17096640827962584
20,0.036290979527368775,0.1692121669899841
21,0.053000210417992404,0.14357700759183276
22,0.0430935558660252,0.15494048668068774
23,0.03830340069750411,0.14781511241488104
24,0.03984074295872067,0.17534908706130334
25,0.042605969127909836,0.16039466657668108
26,0.014571208325762438,0.16719105255069439
27,0.030837603080347543,0.14939461869882673
28,0.04094988999454852,0.1536282146169792
29,0.027010324038027448,0.1688860131666838
30,0.02897923159689713,0.1619343003556187
31,0.03351383149944314,0.16662529908913068
32,0.03274999080152161,0.16109156202725547
33,0.02839179213957575,0.1418475156354997
34,0.04347821905037773,0.1307799189817837
35,0.02722794023947197,0.16387470379622085
36,0.013695232208184008,0.16439629828042132
37,0.016106559491733768,0.17549335809191946
38,0.033805879666675524,0.14615476751654044
39,0.014331716763235044,0.15353015305587372
40,0.010465797704283028,0.17192957736479467
41,0.030453656789156368,0.15125683959280908
42,0.026665517330047683,0.16349460514864408
43,0.011284457206416137,0.16302456380565342
44,0.017741903989061527,0.1638008768365002
45,0.013775125584552217,0.16599583771086912
46,0.03195033381089475,0.13796797742413205
47,0.030978563674635116,0.16104243662346573
48,0.02655844604582883,0.14308528073532323
49,0.03320543857850499,0.13922706281231997
50,0.04239823986093933,0.14264333412987193
51,0.00015621294083991582,0.1838998754526776
52,-0.008416083034945274,0.16298941327216795
53,0.010683463945205092,0.1430762052681667
54,0.019376571598609515,0.16384127509186208
55,0.0030404398878811326,0.1652096861677838
56,0.04019386555879647,0.13624344589578613
57,0.017293849778292694,0.12694585131326097
58,-0.0030637624637830548,0.1603706340535918
59,0.009149701558826396,0.16069291944685202
60,-0.0069681966492620056,0.19685944225244253
61,0.015282275303820042,0.14774596272164808
62,0.012199064382568651,0.14524000743685456
63,0.017967381251189678,0.13410197071973087
64,0.021605171901399038,0.1418476780676653
65,-0.005372666775315942,0.17614969459647342
66,0.016272260745804158,0.14502004612809882
67,0.0003469538445442596,0.17686946714140778
68,0.008212083478202938,0.14761286964004072
69,-0.0028301545883287547,0.18268627983275992
70,0.006556005774199999,0.16071116925660167
71,-0.004699371384325407,0.17839929686108885
72,-0.012970602810117717,0.1614978358981364
73,0.0006941811527251092,0.1666527567006785
74,-0.0012088135140794283,0.1770464472649261
75,0.01022630719473568,0.1586288338021621
76,-0.0033092549529342343,0.1707186695910963
77,0.0111510943409801,0.14910649172450202
78,0.0002721855175067211,0.14798757587898254
79,0.002073998979692924,0.16623572867513325
80,0.008979379697870335,0.15228257264098516
81,0.0012241157931820183,0.15847347542023427
82,0.008489200455461424,0.1379988451676712
83,-0.013176952353851957,0.18992353513399016
84,-0.00039050219764104875,0.17079589654160957
85,-0.020538027994054537,0.16926913126468504
86,-0.0029604499126188464,0.13782106273725783
87,-0.01658136494742931,0.15604498681001028
88,0.006734110963618348,0.14203988751700017
89,0.008488606910956977,0.158502128735165
90,-0.005765085038047247,0.15786690103618142
91,0.011325725754852996,0.14737623597003
92,-0.025508934123398157,0.1892747940572151
93,-0.005195702932153239,0.16229680912764866
94,-0.0061018675980384785,0.14630813887423777
95,-0.004840430119451038,0.14362660732815438
96,0.011597875203003373,0.13816314490543927
97,-0.013077890918850426,0.17861769961969653
98,-0.010707742379653941,0.1542799952846059
99,-0.011278200149508116,0.1435425178722339
100,0.00251958625551401,0.15013200335114768
