channel,idx,mrs,magnitude,angle,date
0.0,0.00047345542923013533,0.0014583188888113846,0.0015332494985916556,72.0135442939542,2020-01-27
1.0,-0.0006714360599984147,-0.0004307862057034986,0.0007977487936002233,-147.3162026765524,2020-01-27
2.0,0.0010271914014479112,0.002431903863941731,0.0026399391240449553,67.10169960046622,2020-01-27
3.0,0.0008766402949746232,0.0019093039159560742,0.0021009378025677945,65.33819005553619,2020-01-27
4.0,0.0030811658437179417,0.00038183130044096514,0.0031047347871421375,7.064323102367211,2020-01-27
5.0,-0.0006610924850878298,-0.0006099043514833871,0.0008994590550981036,-137.30628415140106,2020-01-27
6.0,-0.0025838388521348637,0.0004264221910608247,0.002618789624775294,170.6286984132608,2020-01-27
7.0,0.0008533606633191344,0.0023902346787068583,0.0025380004414880136,70.35243868702956,2020-01-27
8.0,0.0011330049502412218,0.0010608601335922762,0.001552135445222657,43.1165184369817,2020-01-27
9.0,-0.0007328084025811884,-0.00036971993933012894,0.0008207929022791725,-153.22792744717725,2020-01-27
10.0,0.0006222689630176155,0.0020826765747255956,0.0021736513927596017,73.36473334496888,2020-01-27
11.0,-0.00028232573829168196,-0.0002540156456057666,0.00037977858116863003,-138.02148031519968,2020-01-27
12.0,0.00029700796471460997,0.0005126247193269927,0.0005924507017203988,59.912566303358695,2020-01-27
13.0,-0.000443398358596787,-0.0002338773477048874,0.0005012990306950511,-152.1898984687153,2020-01-27
14.0,0.0012353029010573338,0.000337255451950938,0.0012805133725312268,15.27042861387164,2020-01-27
15.0,-0.0003198410895189137,-0.00030257549938975207,0.00044028428926729104,-136.58895479841024,2020-01-27
16.0,-0.0013976034183159627,-0.0008139565303542967,0.0016173498533696626,-149.78371401158174,2020-01-27
17.0,-0.00021434584100836417,-0.0003282304624909749,0.0003920196118367323,-123.14592547960439,2020-01-27
18.0,-0.0004254079248582558,-0.00036437701585896837,0.0005601272285994444,-139.4187699385615,2020-01-27
19.0,-0.00040298514989285384,-0.00041266023025330603,0.0005767889533155757,-134.3203967220938,2020-01-27
20.0,0.00031334179575707175,0.0003579742943784254,0.0004757401353722408,48.803716142542555,2020-01-27
21.0,-0.0002286366801089145,-0.00015036186833849305,0.0002736483563653698,-146.66926297525083,2020-01-27
22.0,0.0015623825288087845,0.0006851618029347833,0.0017060146138083857,23.679206094852304,2020-01-27
23.0,0.00019879088817898694,8.955763683688048e-06,0.00019899251977435875,2.579498179792845,2020-01-27
24.0,-0.00028370714816214126,-0.00024903169952439694,0.00037750037521346215,-138.7240728617361,2020-01-27
25.0,-0.0002926816359574411,-0.0002803317339689297,0.0004052757346508064,-136.23467926994613,2020-01-27
26.0,-0.00030944644227157023,-0.0003866744499654153,0.0004952516843894513,-128.66946388234405,2020-01-27
27.0,-0.00025703596829377456,-0.00018606904471980766,0.00031731558171583705,-144.09911745237508,2020-01-27
28.0,-0.00049814899347204,-0.00036061355240167846,0.0006149752465530338,-144.0989570586894,2020-01-27
29.0,-0.0003146384584442186,-0.0002467906040421016,0.0003998786838225059,-141.89069336653444,2020-01-27
30.0,-0.00020326180433289767,-0.00017109258321401167,0.0002656840852055476,-139.9115057248841,2020-01-27
31.0,-6.162329906878292e-05,-0.00041964159422486116,0.00042414207359292203,-98.35403145947865,2020-01-27
32.0,0.0006088433503236808,-0.0009758232146336009,0.0011501831034453685,-58.038809264136596,2020-01-27
33.0,-0.0002469308712926826,-0.00030334393436563383,0.0003911424263791712,-129.14660138569332,2020-01-27
34.0,-0.0015339247296614314,-0.0003739885032632348,0.001578857966012133,-166.29795647024898,2020-01-27
35.0,-0.00032868687395911473,-0.00037756587025266134,0.0005005906985678664,-131.0409335341998,2020-01-27
36.0,-0.000488788227223359,-0.0004643931316883949,0.0006742217082173407,-136.46607037635275,2020-01-27
37.0,0.0012748045470728612,-0.00015217257562337604,0.001283854791637082,-6.807149469327416,2020-01-27
38.0,-0.0004227078469162592,-0.0003057518239364408,0.000521695410833793,-144.12114014094948,2020-01-27
39.0,-0.0008320787249271558,-0.0007552132666215441,0.001123700174671867,-137.77241279571885,2020-01-27
40.0,-0.00036364365233487625,-0.00032748024004940174,0.0004893669517920699,-137.99529938531796,2020-01-27
41.0,-0.00020584299037854225,-0.0001356157698283692,0.0002465014679755921,-146.62186431606642,2020-01-27
42.0,-0.0005782233136737383,-0.0006269373338051642,0.0008528731564509264,-132.68529685517944,2020-01-27
43.0,-0.0003073991255274638,-0.0003519123118102264,0.00046726491156373753,-131.13755655226032,2020-01-27
44.0,-0.0004491392975414027,-0.000310632684886432,0.0005460941068311743,-145.33158010887644,2020-01-27
45.0,-0.00040936446086971566,-0.000368218368745157,0.0005506033317230266,-138.02900303516083,2020-01-27
46.0,-0.00040570115595243083,-0.0004094569264963921,0.0005764099258314437,-134.7360165065656,2020-01-27
47.0,-0.00015990909728138408,-0.00020244346881929365,0.00025798115718194515,-128.30503348686747,2020-01-27
48.0,-0.0001807341668869662,-0.00019435046154148782,0.0002653995873804537,-132.92096576735523,2020-01-27
49.0,-0.0002577139714793425,-0.00026687347749417315,0.00037099588149397064,-133.99969449019997,2020-01-27
50.0,0.0011513968058712962,5.546054597914686e-05,0.0011527317453470813,2.7576948759126223,2020-01-27
51.0,-0.0002092574685978144,-0.0003119000982212346,0.00037559334317101663,-123.85812809204722,2020-01-27
52.0,0.0011336392202026635,-0.00021977417677406132,0.0011547461064486944,-10.971606075404448,2020-01-27
53.0,9.428119169719589e-05,-9.710668338720344e-05,0.0001353464113536298,-45.84580587496344,2020-01-27
54.0,-0.00017526744250551853,-0.00025944975175410176,0.00031310198033179267,-124.0404114976296,2020-01-27
55.0,-0.0002950840475823017,-0.0008222123015096778,0.0008735603378653334,-109.74257178180807,2020-01-27
56.0,-0.0005020842726654089,-0.00025609995716119484,0.0005636273635265755,-152.9750697363547,2020-01-27
57.0,0.000426991422038665,0.0001761308907336301,0.0004618915080029327,22.415795335285512,2020-01-27
58.0,-4.727702353708037e-05,-0.00015451468736253865,0.00016158559826070116,-107.01259481550969,2020-01-27
59.0,-0.00041717057961161615,-0.0002481948048329053,0.000485419358533975,-149.2495545997861,2020-01-27
60.0,-0.000758742145041221,-0.00035612397255678534,0.0008381610385190779,-154.85647052952217,2020-01-27
61.0,-0.000539486033626627,-0.0005906031358703418,0.000799910772885371,-132.41011656167572,2020-01-27
62.0,-0.00038230436054540574,-0.00035068359183314945,0.0005187828116592054,-137.470182417814,2020-01-27
63.0,-0.00020212038074562315,-0.00014241058971643588,0.0002472517429183032,-144.8321253537204,2020-01-27
64.0,6.078954974402624e-05,-0.0012715252190049781,0.0012729775143040583,-87.2628661993853,2020-01-27
65.0,-0.00011335716306075764,-0.0002658039586250015,0.00028896641818367875,-113.09674759093164,2020-01-27
66.0,-0.0012767482692138013,-0.0010702640350421964,0.001665998573722451,-140.0277933417336,2020-01-27
67.0,-0.0011815677127844024,-0.001452288554469415,0.0018722297683076794,-129.1314635664248,2020-01-27
68.0,0.000936679641365247,0.00035848048446736775,0.0010029341993830336,20.942551982752175,2020-01-27
69.0,-0.00011713360827713698,-0.00023409381537514018,0.000261763627314629,-116.58202502797192,2020-01-27
70.0,0.0011611435554366406,0.001296448102307532,0.00174041145661273,48.15128057895261,2020-01-27
71.0,-0.0003431035785720511,0.0008925852325223216,0.0009562575296152572,111.0264140096664,2020-01-27
72.0,0.0009002773756982861,0.0016115451208452295,0.0018459623586937677,60.810424457411756,2020-01-27
73.0,0.0008053541156844126,0.0010640366708312167,0.0013344546783324643,52.87844280545748,2020-01-27
74.0,-0.0005888169813353433,-0.0005528167094629512,0.0008076581899357618,-136.80616634259596,2020-01-27
75.0,0.0008672421766514925,0.0006597767169161815,0.0010896854175164105,37.26299318615552,2020-01-27
