channel,angle
0.0,35.95191110206044
1.0,140.596779587067
2.0,23.860154558860245
3.0,54.6515528413161
4.0,80.06233060213623
5.0,38.27614143494153
6.0,71.02443148998964
7.0,21.469561571440874
8.0,30.491943432371656
9.0,53.98034222915922
10.0,48.37613284917066
11.0,102.79714019797126
12.0,60.549639968836686
13.0,71.37201814552373
14.0,54.14281467752257
15.0,76.79424071690208
16.0,72.77014799702546
17.0,132.0279063004443
18.0,54.39620820173737
19.0,72.1073516211186
20.0,73.6633082179026
21.0,109.60282568071071
22.0,83.1647724921793
23.0,108.40403151160413
24.0,86.79177427310785
25.0,100.82752104834971
26.0,62.89991415388761
27.0,92.8911001529395
28.0,68.38945633370638
29.0,88.3926149888185
30.0,113.05563386939949
31.0,135.14170763439043
32.0,102.36840571021938
33.0,50.291737288143835
34.0,58.6974760202233
35.0,42.513759515527326
36.0,35.92730957244559
37.0,67.88694196766518
38.0,44.5950911672076
39.0,81.4503695097026
40.0,23.24385811466265
41.0,57.98343531447638
42.0,72.87967412368361
43.0,47.96987309786719
44.0,43.193938336273426
45.0,51.65786465166114
46.0,49.54100657914351
47.0,45.441613587091474
48.0,46.670376997979645
49.0,70.97809169157543
50.0,43.63914578973735
51.0,56.01833310699179
52.0,73.13920142676926
53.0,57.989707268355986
54.0,55.80094118060551
55.0,56.23266005077658
56.0,64.61587703350625
57.0,58.015530049938675
58.0,79.9147458325881
59.0,73.74324057069752
60.0,69.62772635148082
61.0,53.69800323767505
62.0,65.51737581313307
63.0,70.97678721878908
64.0,23.628065741453867
65.0,81.19097302352644
66.0,22.384315550120267
67.0,24.193485991880266
68.0,40.260005899719836
69.0,119.98333519022302
70.0,46.622928404797186
71.0,61.226544835245626
72.0,58.19954363395551
73.0,60.93422060805026
74.0,62.02843842584045
75.0,42.006676993548076
76.0,56.97155935801767
77.0,25.340915296792762
78.0,29.818239771312594
79.0,44.895882214282366
80.0,46.5286584814731
81.0,45.11168075265347
82.0,29.80041052930552
83.0,80.21532888605272
84.0,50.5934300106043
85.0,88.92697725585245
86.0,31.425596212078826
87.0,38.89946602838773
88.0,44.96990738659575
89.0,49.628009494463505
90.0,49.23710279011201
91.0,27.45248257193183
92.0,60.62890424378291
93.0,27.98003220263579
94.0,74.27188365955834
95.0,45.41968111126703
