channel,magnitude
0.0,0.00958835130333152
1.0,0.0036984177871631405
2.0,0.010722784941237521
3.0,0.008353802817341929
4.0,0.005793060675838969
5.0,0.006358985672448559
6.0,0.008447976515970654
7.0,0.01816419351491346
8.0,0.006831919426202472
9.0,0.004166432370815373
10.0,0.008127538908802433
11.0,0.005938409857646671
12.0,0.00434291382738796
13.0,0.0031773423569295186
14.0,0.008594673851324083
15.0,0.0035113749484155924
16.0,0.005167414515096544
17.0,0.0022001899665367256
18.0,0.004264131586231329
19.0,0.0029818131436549246
20.0,0.003000882482561509
21.0,0.0023116217724841203
22.0,0.004998848491111686
23.0,0.0023207633652792404
24.0,0.0038271137036081015
25.0,0.002417860514433334
26.0,0.003220615317756164
27.0,0.002706913820077544
28.0,0.003035790597377577
29.0,0.0026843939430667143
30.0,0.0024758625264531585
31.0,0.005406316389767419
32.0,0.016775284684651073
33.0,0.005152790544361972
34.0,0.012385304161128676
35.0,0.006276516450835671
36.0,0.010335752020674029
37.0,0.012911702535304697
38.0,0.006907661597993023
39.0,0.011305040458522613
40.0,0.007870395867512911
41.0,0.0048065212567242055
42.0,0.007277158616462441
43.0,0.004982246623871802
44.0,0.005328178673900893
45.0,0.0065152756677669555
46.0,0.006959394971121133
47.0,0.005974350284418519
48.0,0.0062194993676814875
49.0,0.008743846198390772
50.0,0.010386750132562858
51.0,0.004904877214346167
52.0,0.0069086713762896825
53.0,0.0046351545630342016
54.0,0.005075803218692222
55.0,0.005839448827540014
56.0,0.008390132658333441
57.0,0.01147805800867778
58.0,0.006133571952868321
59.0,0.00576109705464373
60.0,0.004958130817099911
61.0,0.0070537851723201424
62.0,0.005732002850232677
63.0,0.004887387794492628
64.0,0.012860019278786869
65.0,0.0039587763299389934
66.0,0.01149893077392296
67.0,0.014859877491357107
68.0,0.010507162135698722
69.0,0.0036614964579026765
70.0,0.010849627915829848
71.0,0.016318355475345082
72.0,0.012664840798416583
73.0,0.013491783868463857
74.0,0.01864715501646757
75.0,0.009610890977855693
76.0,0.003084244675443169
77.0,0.00985373891682241
78.0,0.011675282000055933
79.0,0.010090072398466725
80.0,0.010003571400252582
81.0,0.01980499913033442
82.0,0.010807320350381839
83.0,0.011725214164671495
84.0,0.009429775944142862
85.0,0.007387987191890819
86.0,0.00806645715348936
87.0,0.008693796667871363
88.0,0.006869614004754422
89.0,0.016956022133010423
90.0,0.015518992313443917
91.0,0.012655785092346687
92.0,0.004887009213586294
93.0,0.007979548679027407
94.0,0.005886705863189643
95.0,0.005565537774809806
