channel,angle
0.0,90.13249895190826
1.0,8.530585825712071
2.0,76.86429015201007
3.0,125.47169182078079
4.0,36.162826603219926
5.0,13.409855701020273
6.0,96.5930249353733
7.0,81.3038943125723
8.0,24.26387012051389
9.0,20.041990209663062
10.0,72.16429022897816
11.0,28.806572424526568
12.0,46.07310779139419
13.0,71.25494490360877
14.0,123.35469404235623
15.0,41.60486262308778
16.0,143.3257666688914
17.0,-57.349071450027786
18.0,27.0252042908823
19.0,25.473469636125028
20.0,88.56718425226515
21.0,67.7398255311535
22.0,167.52570355658196
23.0,62.86819303054469
24.0,45.445260320465316
25.0,32.74656355969322
26.0,26.88281872890688
27.0,22.05442758855368
28.0,6.883787130452376
29.0,9.8140585559024
30.0,-105.98620212814927
31.0,4.701299669574401
32.0,-107.92063604295859
33.0,-127.22973782102427
34.0,-127.12226215966328
35.0,-127.57506180290089
36.0,-147.67219030557698
37.0,149.47338279874884
38.0,-128.24460599445112
39.0,167.59181500551622
40.0,-119.11684238696719
41.0,-122.7613774867692
42.0,-111.17380753514529
43.0,-125.81891854145252
44.0,-123.34384646470494
45.0,-125.9336630631614
46.0,-124.98469487467783
47.0,-125.357861302682
48.0,-127.21905729425275
49.0,-134.6997274031874
50.0,-139.4252956829666
51.0,-126.89986577443682
52.0,-99.9420803649254
53.0,-126.05032756740616
54.0,-129.28041536938287
55.0,-125.38139837445573
56.0,-119.8359707176679
57.0,-130.60554281060794
58.0,-131.45364465425678
59.0,-124.4676991881987
60.0,-125.13516182517306
61.0,-139.84375314436824
62.0,-127.38150478315038
63.0,-124.54159113744932
64.0,-122.24396317691743
65.0,-118.40340813925654
66.0,-131.02063055945055
67.0,-118.29818718283389
68.0,-113.00142671139949
69.0,13.036603307850067
70.0,-116.19557916946194
71.0,157.93699345985613
72.0,-165.6469256089018
73.0,-150.98817037948274
74.0,-135.58920018049315
75.0,-130.3130355263957
76.0,-114.08045223061826
77.0,-124.00735140222817
78.0,-120.98083591650513
79.0,-109.73361207373314
80.0,-140.35120027807804
81.0,-33.32838017576623
82.0,-134.26386332902146
83.0,-9.87655630344595
84.0,-126.35784268486204
85.0,166.05804040599676
86.0,-130.46745697190164
87.0,-129.41548002654605
88.0,-119.64353712107163
89.0,-150.74603752199323
90.0,-120.03795136938548
91.0,-106.95640649955347
92.0,-131.13232826161206
93.0,-126.8502315594017
94.0,-127.5759805798791
95.0,-120.52365893769922
