Starting_day,Day,Day_index,Repetition,Is_initial,Target_type,Rel_day,Finetune_samples,Finetune_iterations,Update_neural_scaler,MSE,Correlation,R2,MSE_DOF0,Correlation_DOF0,R2_DOF0,MSE_DOF1,Correlation_DOF1,R2_DOF1,MSE_DOF2,Correlation_DOF2,R2_DOF2,MSE_DOF3,Correlation_DOF3,R2_DOF3
2020-07-08,2020-07-08,0,0,True,CO,0,960,50,True,0.004445547425048647,0.754099981739605,0.567516077142529,0.009775183211531563,0.7528773505446041,0.5561628048241114,0.007878006057977402,0.8412837198617127,0.7028307368260582,5.3055472213026195e-05,0.688063585765039,0.4726257417800728,7.594495847259807e-05,0.7341752707870642,0.5384450251398738
2020-07-08,2020-07-14,1,0,False,CO,6,960,50,True,0.009617166439653524,0.6031664764283662,0.3164502313958558,0.01694454759541776,0.6569282604757369,0.31103131258338035,0.02136003072565805,0.5388331168555713,0.22377175736266663,6.446037175343469e-05,0.617003933712986,0.37924842047931084,9.962706578484781e-05,0.5999005946691702,0.35174943515806545
2020-07-08,2020-07-29,2,0,False,RD,21,960,50,True,0.014134336898913157,0.6303044403593442,0.39801221169163226,0.03199406794381313,0.7383310148607838,0.515231769432557,0.024081422818804127,0.728644219767614,0.5264409584568077,0.00030339555757391106,0.46242649555448173,0.20890265579789535,0.0001584612754614577,0.5918160312544972,0.34147346307926896
2020-07-08,2020-07-31,3,0,False,CO,23,960,50,True,0.009732673898924776,0.5859844278824105,0.28429906200655486,0.019836211148588162,0.6421382654870975,0.23567533763100257,0.018890563021397782,0.5863438114938897,0.30513400007809066,7.127486049434072e-05,0.569426737804835,0.31286800598621833,0.00013264656521881453,0.5460288967438198,0.2835189043309079
2020-07-08,2020-08-08,4,0,False,RD,31,960,50,True,0.017570700931317244,0.637574069342655,0.37889310752210703,0.041786641390156795,0.7159352604818148,0.44255118628585055,0.028040097063938146,0.6821322379101324,0.45824652029310364,0.00020579426779734528,0.5955189085658643,0.3379002976527451,0.0002502710033766828,0.5567098704128087,0.27687442585672883
2020-07-08,2020-08-11,5,0,False,RD,34,960,50,True,0.017814732840865107,0.6480486046339564,0.3737883724473737,0.04834658028138403,0.7213642675135729,0.34740491704131515,0.02253121535243586,0.7652937808594119,0.5729216244436492,0.00020592032601373793,0.5512583516158317,0.27344169909467664,0.0001752154036268031,0.5542780185470095,0.30138524920985366
2020-07-08,2020-08-22,6,0,False,RD,45,960,50,True,0.021151523750253688,0.589939934710482,0.3173410311871341,0.05112663167824954,0.6078895810148256,0.257412761649746,0.033201704921026996,0.6541756727087726,0.42139587045171556,0.00015966057418407247,0.4812116895912497,0.21199121211241245,0.00011809782755414396,0.61648279552708,0.3785642805346622
2020-07-08,2020-08-29,7,0,False,RD,52,960,50,True,0.030541984093255765,0.5119280212186959,0.14089906057545085,0.05937370354450588,0.5958874441596014,0.17194524226297736,0.062176271073363064,0.5344440298706532,0.031024726488945054,0.00012623836441354817,0.4698471651869251,0.1605322694858734,0.0004917233907405804,0.4475334456576039,0.20009400406400757
2020-07-08,2020-09-04,8,0,False,RD,58,960,50,True,0.01825350389440052,0.6082367831796003,0.34372943600239325,0.03267283112572217,0.7550419046397914,0.5025843869879949,0.0398949173409721,0.5997091671831916,0.3061592945956455,0.0001866899778160576,0.5254589433693965,0.26438106568643316,0.00025957713309175695,0.5527371175260216,0.30179299673949933
2020-07-08,2020-09-24,9,0,False,CO,78,960,50,True,0.007618691985143624,0.6264728360430547,0.3786846226811491,0.017725051966291337,0.6031745084881444,0.3464804487952756,0.012604424579923362,0.6939018403104329,0.4401898467770531,0.00010523113278238918,0.4697786051262336,0.21612628345491847,4.006026157740871e-05,0.7390363902474077,0.5119419116973494
2020-07-08,2020-09-28,10,0,False,CO,82,960,50,True,0.006731244591755411,0.663809735721492,0.3842032441556019,0.010661212235168622,0.7140228372409394,0.4990580882323423,0.016136322773652984,0.7047345919886425,0.2691344125527767,8.466915513760549e-05,0.5208871392385623,0.2619204745493756,4.277420306243171e-05,0.7155943744178239,0.506700001287913
2020-07-08,2020-09-29,11,0,False,CO,83,960,50,True,0.006837076348138793,0.6250802071068944,0.3681952974032269,0.015166180040896357,0.650775370687197,0.3870332282676937,0.012015722961165399,0.68329707282685,0.4206950782677057,0.00011702320126100606,0.49402325449842166,0.2332739969668115,4.93791892324146e-05,0.6722251304151083,0.4317788861106966
2020-07-08,2020-10-02,12,0,False,CO,86,960,50,True,0.010014991562912712,0.6136952231812786,0.3672222319010434,0.020535959323878538,0.579901143288684,0.3052901678715494,0.019353966774799187,0.6613562668184394,0.4280888491901591,0.00010365954588201345,0.5368722533082315,0.2838821348490216,6.638060709111003e-05,0.6766512293097593,0.4516277756934435
2020-07-08,2020-10-07,13,0,False,CO,91,960,50,True,0.009804225367034859,0.6622958360891088,0.3988890164026808,0.015404683452380028,0.6823168962869891,0.45245275076992286,0.023652392890754086,0.6983482497445894,0.34605110723416566,7.292808048501553e-05,0.5801666527157769,0.33522329562619035,8.689704452030557e-05,0.68835154560908,0.4618289119804445
2020-07-08,2020-10-12,14,0,False,CO,96,960,50,True,0.007725937999890538,0.6423332347180191,0.3096509740454553,0.01917174619127268,0.5850950014920628,-0.07289876476339918,0.011579655791228815,0.7436656283010894,0.5501890084899361,8.277501917511289e-05,0.5651644131721674,0.3052420431382219,6.957499788554519e-05,0.6754078959067569,0.45607160931706225
