Starting_day,Day,Day_index,Repetition,Is_initial,Target_type,Rel_day,Finetune_samples,Finetune_iterations,Update_neural_scaler,MSE,Correlation,R2,MSE_DOF0,Correlation_DOF0,R2_DOF0,MSE_DOF1,Correlation_DOF1,R2_DOF1,MSE_DOF2,Correlation_DOF2,R2_DOF2,MSE_DOF3,Correlation_DOF3,R2_DOF3
2020-07-08,2020-07-08,0,0,True,CO,0,1500,50,True,0.004445547425048647,0.754099981739605,0.567516077142529,0.009775183211531563,0.7528773505446041,0.5561628048241114,0.007878006057977402,0.8412837198617127,0.7028307368260582,5.3055472213026195e-05,0.688063585765039,0.4726257417800728,7.594495847259807e-05,0.7341752707870642,0.5384450251398738
2020-07-08,2020-07-14,1,0,False,CO,6,1500,50,True,0.008774936155728658,0.6366304652334259,0.3538533301533372,0.017336879861032103,0.6958671003703021,0.29507900435270207,0.017602113136729096,0.6120849508556574,0.36033531401178187,6.21243778363119e-05,0.6341762114277948,0.40174397665375106,9.862724731712441e-05,0.6043935982799495,0.3582550255951139
2020-07-08,2020-07-29,2,0,False,RD,21,1500,50,True,0.013962525452853853,0.6552137173269071,0.4182158765721571,0.034322985161992434,0.7388736121769661,0.47994444426410654,0.021083358610004637,0.7680494876650719,0.5853976249248457,0.0002917252621914307,0.5024888031824981,0.23933269820510894,0.00015203277722691138,0.6114429662830924,0.3681887388945674
2020-07-08,2020-07-31,3,0,False,CO,23,1500,50,True,0.008114538101655357,0.6073905192842078,0.3547738478162853,0.015335672434563869,0.6615216282404806,0.4090891366326356,0.016924644152871517,0.6309046233906206,0.37744789452350735,7.049629336288579e-05,0.5732006571623744,0.3203738556195921,0.00012733952582315568,0.5639351683433559,0.31218450448940593
2020-07-08,2020-08-08,4,0,False,RD,31,1500,50,True,0.018788775035413915,0.6416985868008314,0.37133147766159436,0.04456470701129388,0.7174795545560944,0.40549079249962683,0.030149753419917387,0.6800000623723716,0.41748654470416735,0.0001966344040561074,0.613802449332133,0.36737022954893983,0.00024400530638827824,0.555512280942726,0.2949783438936433
2020-07-08,2020-08-11,5,0,False,RD,34,1500,50,True,0.01414262664899923,0.6707755941613667,0.4334868347354238,0.036602167031881565,0.7631811425795543,0.5059341510481992,0.01959357161089811,0.7930550959727857,0.6286045557669073,0.0002041598366909065,0.5612361254995315,0.27965331577147345,0.00017060811652634032,0.5656300125935949,0.3197553163551151
2020-07-08,2020-08-22,6,0,False,RD,45,1500,50,True,0.020734404194250128,0.6127121018468877,0.3443313942729599,0.04860921092888812,0.6292731755931229,0.29397696431027864,0.03406788514433356,0.6485077792000568,0.4063009994102941,0.0001467565838610657,0.5392420301314573,0.27567918157707516,0.00011376411991776351,0.6338254224629138,0.40136843179419157
2020-07-08,2020-08-29,7,0,False,RD,52,1500,50,True,0.026243044640790556,0.5140936590621229,0.2059587423326577,0.053009694056713796,0.5882473754878677,0.2607008364074396,0.05134358643993144,0.5593670296795217,0.1998448145118059,0.00012540498242182566,0.4645502765181382,0.1660741449093447,0.0004934930840951622,0.4442099545629639,0.19721517350204065
2020-07-08,2020-09-04,8,0,False,RD,58,1500,50,True,0.01737964764716341,0.6301190148137785,0.3711942937803237,0.03224846604534773,0.7760652666937045,0.5090449785352379,0.036839259550511774,0.6300272153403204,0.3593023989837806,0.00017963114880655782,0.5420038951536243,0.2921951365552299,0.0002512338439875839,0.5723796820674651,0.32423466104704635
2020-07-08,2020-09-24,9,0,False,CO,78,1500,50,True,0.00795549763110385,0.6277514510526974,0.3710455978198817,0.02000861059390189,0.5861831447036041,0.26228604348104545,0.011670407275188172,0.7004802378218471,0.48167308682194454,0.00010183141743840506,0.49547354157861034,0.24145098947509513,4.1141237886936154e-05,0.7288688801067278,0.49877227150144177
